,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
823,824,KGROUP-WB [S],0036WB,-,0.005,-,-,-,-,-,0.005,"40,105",-,-,0036WB
824,825,KHIND [S],7062,s,-,1.550,-,-,-,30,1.200,1.550,10,-,-
825,826,KIALIM [S],6211,s,-,0.190,-,-,-,100,0.190,0.210,110,-,-
826,827,KIMHIN [S],5371,s,-,1.000,-,-,-,20,0.935,0.990,30,-,-
827,828,KIMLUN-WA [S],5171WA,s,-,0.240,-,-,-,155,0.170,0.240,50,-,-
828,829,KMLOONG-WB [S],5027WB,s,-,0.260,-,-,-,15,0.250,0.330,213,-,-
829,830,KOTRA [S],0002,s,-,2.110,-,-,-,10,2.100,2.110,13,-,-
830,831,KSSC [S],5192,s,-,0.355,-,-,-,50,0.315,0.355,100,-,-
831,832,KYM [S],8362,s,-,0.260,-,-,-,30,0.235,0.260,48,-,-
832,833,LEBTECH [S],9628,s,-,0.925,-,-,-,1,0.800,0.925,37,-,-
833,834,LEWEKO-WB [S],8745WB,s,-,0.030,-,-,-,700,0.010,0.025,150,-,-
834,835,MACPIE [S],0140,-,0.105,-,-,-,100,0.090,0.105,"3,775",-,-,0140
835,836,MACPIE-WA [S],0140WA,-,0.005,-,-,-,"6,800",0.005,0.010,"26,112",-,-,0140WA
836,837,MATRIX-WA [S],5236WA,s,-,0.025,-,-,-,"5,500",0.020,0.030,"3,124",-,-
837,838,MBWORLD [S],7189,s,-,1.420,-,-,-,50,1.420,1.440,50,-,-
838,839,MCEHLDG [S],7004,s,-,0.450,-,-,-,256,0.375,0.400,105,-,-
839,840,MCOM [S],03022,-,0.405,-,-,-,-,-,-,-,-,-,03022
840,841,MELATI [S],5129,[c]  s,-,0.470,-,-,-,60,0.430,0.470,162,-,-
841,842,MENTIGA [S],5223,s,-,0.450,-,-,-,200,0.430,0.540,55,-,-
842,843,MERCURY [S],8192,s,-,0.715,-,-,-,70,0.635,1.000,30,-,-
843,844,MERIDIAN-WB [S],5040WB,s,-,0.005,-,-,-,"26,075",0.005,0.010,"13,804",-,-
844,845,MESB-WA [S],7234WA,s,-,0.090,-,-,-,388,0.060,0.090,177,-,-
845,846,METFAPA [S],0826EA,S s,-,0.945,-,-,-,-,-,-,-,-,-
846,847,METFSID [S],0825EA,[c]  s,-,0.735,-,-,-,100,0.690,0.740,100,-,-
847,848,MFGROUP [S],03015,-,0.235,-,-,-,-,-,-,-,-,-,03015
848,849,MILUX [S],7935,s,-,0.800,-,-,-,100,0.800,0.855,10,-,-
849,850,MITRA-WD [S],9571WD,s,-,0.005,-,-,-,-,-,0.005,"6,340",-,-
