,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
531,532,NESTLE [S],4707,[c]  s,140.200,143.000,-2.800,-1.96,"1,119",661,140.200,140.700,34,141.700,139.100
532,533,FIMACOR [S],3107,s,1.500,1.500,-,-,"1,118",20,1.500,1.550,234,1.500,1.480
533,534,TSH [S],9059,s,1.170,1.180,-0.010,-0.85,"1,112",20,1.140,1.170,54,1.170,1.110
534,535,LBALUM [S],9326,s,0.465,0.465,-,-,"1,100",280,0.465,0.475,"1,000",0.475,0.465
535,536,SYSTECH [S],0050,0.130,0.140,-0.010,-7.14,"1,100","1,938",0.130,0.135,250,0.135,0.130,0050
536,537,DBHD [S],3484,s,0.395,0.395,-,-,"1,093",100,0.385,0.395,99,0.400,0.380
537,538,GENETEC [S],0104,1.390,1.450,-0.060,-4.14,"1,082",19,1.390,1.440,40,1.400,1.340,0104
538,539,CNI [S],5104,s,0.055,0.055,-,-,"1,080","27,099",0.050,0.055,870,0.055,0.050
539,540,PLS [S],9695,s,0.640,0.645,-0.005,-0.78,"1,075",11,0.620,0.640,160,0.645,0.620
540,541,PWF [S],7134,s,0.620,0.695,-0.075,-10.79,"1,065",28,0.600,0.620,290,0.635,0.600
541,542,RGTBHD [S],9954,[c]  s,0.150,0.150,-,-,"1,048","2,492",0.150,0.155,"1,500",0.155,0.150
542,543,ADVENTA [S],7191,s,0.610,0.590,+0.020,+3.39,"1,047",14,0.610,0.620,70,0.610,0.610
543,544,KTB [S],4847,s,0.070,0.070,-,-,"1,038","1,463",0.065,0.070,"1,932",0.070,0.065
544,545,SMCAP [S],9776,s,0.125,0.120,+0.005,+4.17,"1,031",179,0.110,0.125,"1,551",0.125,0.110
545,546,CBIP [S],7076,s,0.890,0.905,-0.015,-1.66,"1,025",30,0.890,0.900,243,0.900,0.880
546,547,MICROLN [S],0126,0.900,0.900,-,-,"1,020",255,0.875,0.900,315,0.900,0.875,0126
547,548,YOCB [S],5159,s,0.795,0.830,-0.035,-4.22,"1,008",12,0.795,0.810,199,0.810,0.780
548,549,ASIAPLY-WA [S],0105WA,0.005,0.005,-,-,"1,000",-,-,0.005,"5,401",0.005,0.005,0105WA
549,550,EASTLND [S],2097,s,0.075,0.075,-,-,"1,000","5,300",0.075,0.080,"1,518",0.075,0.075
550,551,TANCO-WB [S],2429WB,s,0.010,0.010,-,-,"1,000","43,098",0.005,0.010,"5,816",0.010,0.010
551,552,GUH [S],3247,s,0.410,0.440,-0.030,-6.82,984,66,0.410,0.440,250,0.435,0.400
552,553,UCHITEC [S],7100,s,2.660,2.660,-,-,959,9,2.660,2.670,39,2.700,2.660
553,554,CANONE [S],5105,s,2.980,2.990,-0.010,-0.33,933,5,2.950,2.980,255,2.990,2.910
